iter	RMSE
670	2.625931091
671	2.623584854
672	2.623485641
673	2.621671147
674	2.619387587
675	2.616113621
676	2.615773264
677	2.614095539
678	2.613945087
679	2.613770551
680	2.612555118
681	2.61094615
682	2.609572666
683	2.608196675
684	2.607213173
685	2.606098585
686	2.60547961
687	2.604261765
688	2.602812079
689	2.601093367
690	2.598490287
691	2.598187228
692	2.596311189
693	2.594842196
694	2.591693214
695	2.591594233
696	2.590715851
697	2.590608769
698	2.589270913
699	2.588880533
700	2.588225499
701	2.5874914
702	2.58730741
703	2.58559149
704	2.585327113
705	2.582384737
706	2.58208844
707	2.580417487
708	2.579569344
709	2.579443966
710	2.576860472
711	2.575073352
712	2.574442939
713	2.572698302
714	2.571027008
715	2.570151981
716	2.568233385
717	2.566042582
718	2.565098586
719	2.564162601
720	2.56149505
721	2.561376647
722	2.559079513
723	2.558964395
724	2.557421976
725	2.555678237
726	2.554504575
727	2.554371097
728	2.554119136
729	2.55317284
730	2.551636068
731	2.549180553
732	2.548460482
733	2.546993858
734	2.544359851
735	2.540570682
736	2.538190083
737	2.53733145
738	2.535257386
739	2.534782223
740	2.534051351
741	2.531567851
742	2.531493564
743	2.529983788
744	2.529500702
745	2.526959056
746	2.526822123
747	2.524414764
748	2.522480433
749	2.522349181
750	2.521771753
751	2.519571633
752	2.519356325
753	2.517472306
754	2.517094548
755	2.515832987
756	2.514238988
757	2.512725981
758	2.512183139
759	2.510899178
760	2.510060054
761	2.506825919
762	2.506554353
763	2.506117121
764	2.505392222
765	2.502028863
766	2.500783077
767	2.500691102
768	2.500260603
769	2.498882039
770	2.496633508
771	2.494457968
772	2.493126234
773	2.492840969
774	2.491924109
775	2.491342459
776	2.49019765
777	2.487894397
778	2.486141311
779	2.48475321
780	2.483213869
781	2.483041975
782	2.482768364
783	2.482388076
784	2.48038335
785	2.4795657
786	2.478202342
787	2.477794133
788	2.475973008
789	2.475172988
790	2.473930564
791	2.473703746
792	2.473148217
793	2.472629979
794	2.470936499
795	2.470812745
796	2.468143777
797	2.466340114
798	2.465047258
799	2.46417243
800	2.463833054
801	2.463461625
802	2.462568127
803	2.461714449
804	2.461543675
805	2.459291309
806	2.458830386
807	2.458733794
808	2.456739479
809	2.455720795
810	2.45399336
811	2.453857216
812	2.453196876
813	2.452078452
814	2.451102977
815	2.449318187
816	2.449262047
817	2.447602816
818	2.445642947
819	2.445372274
820	2.444028341
821	2.443084809
822	2.442044545
823	2.441873105
824	2.441044121
825	2.440245879
826	2.440127945
827	2.439136437
828	2.438049196
829	2.437279835
830	2.436611106
831	2.435798703
832	2.43572714
833	2.435582397
834	2.43545226
835	2.434288303
836	2.434055468
837	2.433050156
838	2.431373027
839	2.430513465
840	2.428507558
841	2.426773991
842	2.424075576
843	2.421407075
844	2.419968577
845	2.41985032
846	2.418801686
847	2.417636062
848	2.416511213
849	2.415659101
850	2.414888439
851	2.413084068
852	2.412074501
853	2.412029723
854	2.411909759
855	2.411458642
856	2.41111629
857	2.409708446
858	2.40950718
859	2.407388471
860	2.407088463
861	2.405204367
862	2.404990332
863	2.40298691
864	2.402241856
865	2.400876056
866	2.399800068
867	2.3988616
868	2.397610173
869	2.397484558
870	2.396151755
871	2.393693479
872	2.392089575
873	2.391832003
874	2.391024279
875	2.389616698
876	2.38657585
877	2.385124077
878	2.383619521
879	2.383518787
880	2.379954238
881	2.379463248
882	2.377435393
883	2.377204773
884	2.375747164
885	2.375698081
886	2.374050977
887	2.372601707
888	2.371695214
889	2.371096433
890	2.370431736
891	2.369829044
892	2.369247839
893	2.367352648
894	2.36567426
895	2.365088004
896	2.365032677
897	2.364327434
898	2.363502218
899	2.363389657
900	2.363318568
901	2.363224189
902	2.362907836
903	2.360892593
904	2.358932266
905	2.357376634
906	2.357299393
907	2.356974934
908	2.356280451
909	2.354495957
910	2.354410974
911	2.353892032
912	2.352892292
913	2.352158728
914	2.351814735
915	2.350632727
916	2.349818551
917	2.349556166
918	2.349303638
919	2.349267996
920	2.346256695
921	2.344157877
922	2.343025184
923	2.341639541
924	2.341545469
925	2.341442171
926	2.340662776
927	2.339613261
928	2.338893242
929	2.337946402
930	2.337467368
931	2.33694119
932	2.335960967
933	2.335179698
934	2.335074683
935	2.334991745
936	2.333151017
937	2.332339416
